,austingw.LAT_DD_WGS84,austingw.LON_DD_WGS84,austingw.PARAMETER,austingw.RESULT,austingw.SAMPLE_DATE,austingw.SITE_NAME,austingw.SITE_TYPE,austingw.WATERSHED,austingw.UNIT,header
3503,30.30338848,-97.88887425,Ammonia as N (mg/L),0.02,1/28/1999,Barton Scenic Bluff Spring,Spring,Barton Creek,MG/L,TRUE
3505,30.30338848,-97.88887425,Flow (Cubic feet per second),0.081,1/28/1999,Barton Scenic Bluff Spring,Spring,Barton Creek,Cubic Feet Per Second,TRUE
3506,30.30338848,-97.88887425,Conductivity (uS/cm),871,1/28/1999,Barton Scenic Bluff Spring,Spring,Barton Creek,uS/cm,TRUE
3507,30.30338848,-97.88887425,pH (Standard units),7.1,1/28/1999,Barton Scenic Bluff Spring,Spring,Barton Creek,Standard units,TRUE
3530,30.30338848,-97.88887425,Ammonia as N (mg/L),0.04,2/25/1999,Barton Scenic Bluff Spring,Spring,Barton Creek,MG/L,TRUE
3532,30.30338848,-97.88887425,Flow (Cubic feet per second),0.0298,2/25/1999,Barton Scenic Bluff Spring,Spring,Barton Creek,Cubic Feet Per Second,TRUE
3533,30.30338848,-97.88887425,Conductivity (uS/cm),716,2/25/1999,Barton Scenic Bluff Spring,Spring,Barton Creek,uS/cm,TRUE
3534,30.30338848,-97.88887425,pH (Standard units),7.43,2/25/1999,Barton Scenic Bluff Spring,Spring,Barton Creek,Standard units,TRUE
3535,30.30338848,-97.88887425,Turbidity (NTU),0.55,2/25/1999,Barton Scenic Bluff Spring,Spring,Barton Creek,NTU,TRUE
3536,30.26363726,-97.77303284,Flow (Cubic feet per second),2.84,2/25/1999,Barton Creek Upstream of Barton Spring Pool,Stream,Barton Creek,Cubic Feet Per Second,TRUE
3552,30.30338848,-97.88887425,Ammonia as N (mg/L),0.01,3/25/1999,Barton Scenic Bluff Spring,Spring,Barton Creek,MG/L,TRUE
3554,30.30338848,-97.88887425,Conductivity (uS/cm),723,3/25/1999,Barton Scenic Bluff Spring,Spring,Barton Creek,uS/cm,TRUE
3555,30.30338848,-97.88887425,pH (Standard units),7.27,3/25/1999,Barton Scenic Bluff Spring,Spring,Barton Creek,Standard units,TRUE
3556,30.30338848,-97.88887425,Turbidity (NTU),1.1,3/25/1999,Barton Scenic Bluff Spring,Spring,Barton Creek,NTU,TRUE
3625,30.30338848,-97.88887425,Ammonia as N (mg/L),0.02,4/22/1999,Barton Scenic Bluff Spring,Spring,Barton Creek,MG/L,TRUE
3629,30.30338848,-97.88887425,Flow (Cubic feet per second),0.0265,4/22/1999,Barton Scenic Bluff Spring,Spring,Barton Creek,Cubic Feet Per Second,TRUE
3630,30.30338848,-97.88887425,Conductivity (uS/cm),772,4/22/1999,Barton Scenic Bluff Spring,Spring,Barton Creek,uS/cm,TRUE
3631,30.30338848,-97.88887425,Water temperature (Deg. Celsius),21.4,4/22/1999,Barton Scenic Bluff Spring,Spring,Barton Creek,Deg. Celsius,TRUE
3632,30.30338848,-97.88887425,pH (Standard units),7.88,4/22/1999,Barton Scenic Bluff Spring,Spring,Barton Creek,Standard units,TRUE
